#   WAVELENGTH        FLUX
#------------- -----------
3500.000 2.936
3500.100 3.097
3500.200 3.375
3500.300 3.439
3500.400 3.340
3500.500 3.346
3500.600 3.487
3500.700 3.743
3500.800 3.932
3500.900 3.956
3501.000 3.825
3501.100 3.413
3501.200 3.040
3501.300 2.901
3501.400 2.869
3501.500 2.849
3501.600 2.797
3501.700 2.790
3501.800 2.808
3501.900 2.805
3502.000 2.811
3502.100 2.829
3502.200 2.842
3502.300 2.830
3502.400 2.829
3502.500 2.835
3502.600 2.888
3502.700 2.948
3502.800 2.908
3502.900 2.857
3503.000 2.842
3503.100 2.864
3503.200 3.044
3503.300 3.307
3503.400 3.336
3503.500 3.170
3503.600 3.209
3503.700 3.504
3503.800 3.604
3503.900 3.366
3504.000 3.136
3504.100 3.021
3504.200 2.919
3504.300 2.800
3504.400 2.766
3504.500 2.854
3504.600 2.998
3504.700 3.039
3504.800 2.965
3504.900 2.942
3505.000 3.021
3505.100 3.219
3505.200 3.509
3505.300 3.677
3505.400 3.647
3505.500 3.544
3505.600 3.368
3505.700 3.286
3505.800 3.320
3505.900 3.206
3506.000 3.068
3506.100 3.090
3506.200 3.180
3506.300 3.204
3506.400 3.107
3506.500 3.100
3506.600 3.354
3506.700 3.596
3506.800 3.463
3506.900 3.176
3507.000 3.029
3507.100 2.980
3507.200 2.939
3507.300 2.869
3507.400 2.843
3507.500 2.889
3507.600 2.972
3507.700 3.018
3507.800 2.952
3507.900 2.881
3508.000 2.939
3508.100 2.983
3508.200 2.946
3508.300 2.879
3508.400 2.779
3508.500 2.752
3508.600 2.880
3508.700 3.074
3508.800 3.163
3508.900 3.055
3509.000 2.932
3509.100 2.918
3509.200 2.950
3509.300 3.035
3509.400 3.126
3509.500 3.099
3509.600 3.118
3509.700 3.362
3509.800 3.696
3509.900 3.852
3510.000 3.650
3510.100 3.288
3510.200 3.094
3510.300 3.150
3510.400 3.222
3510.500 3.208
3510.600 3.272
3510.700 3.445
3510.800 3.615
3510.900 3.609
3511.000 3.415
3511.100 3.220
3511.200 3.177
3511.300 3.337
3511.400 3.480
3511.500 3.450
3511.600 3.299
3511.700 3.054
3511.800 2.866
3511.900 2.905
3512.000 3.144
3512.100 3.348
3512.200 3.378
3512.300 3.383
3512.400 3.318
3512.500 3.166
3512.600 3.150
3512.700 3.240
3512.800 3.281
3512.900 3.327
3513.000 3.485
3513.100 3.663
3513.200 3.586
3513.300 3.337
3513.400 3.090
3513.500 2.857
3513.600 2.731
3513.700 2.752
3513.800 2.872
3513.900 3.033
3514.000 3.110
3514.100 3.031
3514.200 2.966
3514.300 3.010
3514.400 3.080
3514.500 2.994
3514.600 2.750
3514.700 2.616
3514.800 2.615
3514.900 2.648
3515.000 2.738
3515.100 2.853
3515.200 2.883
3515.300 2.891
3515.400 2.898
3515.500 2.872
3515.600 2.801
3515.700 2.734
3515.800 2.702
3515.900 2.671
3516.000 2.661
3516.100 2.689
3516.200 2.797
3516.300 3.052
3516.400 3.440
3516.500 3.769
3516.600 3.850
3516.700 3.836
3516.800 3.918
3516.900 3.839
3517.000 3.597
3517.100 3.503
3517.200 3.442
3517.300 3.301
3517.400 3.170
3517.500 3.179
3517.600 3.204
3517.700 3.059
3517.800 2.908
3517.900 2.934
3518.000 3.012
3518.100 3.247
3518.200 3.585
3518.300 3.513
3518.400 3.219
3518.500 3.100
3518.600 3.162
3518.700 3.262
3518.800 3.186
3518.900 3.055
3519.000 3.112
3519.100 3.200
3519.200 3.169
3519.300 3.097
3519.400 3.092
3519.500 3.094
3519.600 2.988
3519.700 2.831
3519.800 2.764
3519.900 2.817
3520.000 2.871
3520.100 2.956
3520.200 2.995
3520.300 2.855
3520.400 2.714
3520.500 2.715
3520.600 2.860
3520.700 2.889
3520.800 2.710
3520.900 2.625
3521.000 2.671
3521.100 2.700
3521.200 2.803
3521.300 2.920
3521.400 2.858
3521.500 2.791
3521.600 2.873
3521.700 3.093
3521.800 3.321
3521.900 3.248
3522.000 2.932
3522.100 2.807
3522.200 2.912
3522.300 2.901
3522.400 2.692
3522.500 2.571
3522.600 2.593
3522.700 2.662
3522.800 2.769
3522.900 2.839
3523.000 2.859
3523.100 2.892
3523.200 3.055
3523.300 3.214
3523.400 3.228
3523.500 3.396
3523.600 3.612
3523.700 3.504
3523.800 3.213
3523.900 3.073
3524.000 3.107
3524.100 3.040
3524.200 2.977
3524.300 3.054
3524.400 3.014
3524.500 2.939
3524.600 3.014
3524.700 3.167
3524.800 3.190
3524.900 3.055
3525.000 2.976
3525.100 2.946
3525.200 2.925
3525.300 2.920
